Rater,Mean ± SD (human),Mean ± SD (AI),Cohen's d,95% CI,p-value
Patients,14.953 ± 4.274,17.266 ± 3.123,-0.478,"[-0.739, -0.243]",0.000
Expert 1,16.766 ± 1.925,17.891 ± 1.416,-0.448,"[-0.705, -0.216]",0.001
Expert 2,14.516 ± 2.475,13.922 ± 2.339,0.185,"[-0.063, 0.473]",0.145
