Rater,Mean ± SD (human1),Mean ± SD (human2),Cohen's d,95% CI,p-value
Patients,16.094 ± 3.888,13.812 ± 4.395,0.550,"[-1.088, -0.078]",0.032
Expert 1,16.625 ± 2.152,16.906 ± 1.692,-0.145,"[-0.366, 0.620]",0.563
Expert 2,14.281 ± 3.008,14.750 ± 1.814,-0.189,"[-0.346, 0.668]",0.453
