Rater,Mean ± SD (human),Mean ± SD (AI),Cohen's d,95% CI,p-value
Patients,13.812 ± 4.395,16.844 ± 3.611,-0.542,"[-0.967, -0.169]",0.004
Expert 1,16.906 ± 1.692,17.594 ± 1.478,-0.295,"[-0.697, 0.029]",0.106
Expert 2,14.750 ± 1.814,13.969 ± 1.892,0.325,"[-0.015, 0.728]",0.076
