Rater,Mean ± SD (human),Mean ± SD (AI),Cohen's d,95% CI,p-value
Patients,16.094 ± 3.888,17.688 ± 2.533,-0.409,"[-0.701, -0.089]",0.027
Expert 1,16.625 ± 2.152,18.188 ± 1.306,-0.592,"[-0.916, -0.309]",0.002
Expert 2,14.281 ± 3.008,13.875 ± 2.744,0.104,"[-0.247, 0.494]",0.559
